alert_id,alert_type,severity,risk_score,mmsi,timestamp,lat,lon,vessel_name,vessel_type,title,explanation,recommended_action,evidence,month
BKB-0011,AIS_GAP,HIGH,95,10970227654,2022-12-05T22:39:52+00:00,-9.37506333333,143.79069,,Pleasure,AIS gap of 46.6 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-04T00:05:42+00:00 → current point 2022-12-05T22:39:52+00:00 (46.6 h silence).,2022-12
BKB-0012,AIS_GAP,HIGH,86,10970227654,2022-12-06T13:45:40+00:00,-9.93128666667,143.71409,,Pleasure,AIS gap of 9.9 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-06T03:51:52+00:00 → current point 2022-12-06T13:45:40+00:00 (9.9 h silence).,2022-12
BKB-0013,AIS_GAP,MEDIUM,68,10970227654,2022-12-07T00:29:02+00:00,-10.0351933333,143.534043333,,Pleasure,AIS gap of 7.7 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-06T16:45:43+00:00 → current point 2022-12-07T00:29:02+00:00 (7.7 h silence).,2022-12
BKB-0014,AIS_GAP,MEDIUM,74,10970227654,2022-12-07T08:54:55+00:00,-10.1754933333,143.172206667,,Pleasure,AIS gap of 8.4 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-07T00:29:02+00:00 → current point 2022-12-07T08:54:55+00:00 (8.4 h silence).,2022-12
BKB-0015,AIS_GAP,MEDIUM,66,10970227654,2022-12-08T18:55:40+00:00,-10.580005,142.233926667,,Pleasure,AIS gap of 7.4 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-08T11:28:41+00:00 → current point 2022-12-08T18:55:40+00:00 (7.4 h silence).,2022-12
BKB-0016,AIS_GAP,MEDIUM,60,10970227654,2022-12-09T06:53:07+00:00,-10.5866833333,142.221741667,,Pleasure,AIS gap of 6.7 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-09T00:13:40+00:00 → current point 2022-12-09T06:53:07+00:00 (6.7 h silence).,2022-12
BKB-0017,AIS_GAP,HIGH,95,10970227654,2022-12-11T20:44:36+00:00,-10.569975,142.253878333,,Pleasure,AIS gap of 61.9 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-09T06:53:07+00:00 → current point 2022-12-11T20:44:36+00:00 (61.9 h silence).,2022-12
BKB-0018,AIS_GAP,HIGH,95,1125050817,2022-12-01T20:34:59+00:00,-10.5659966667,142.073153333,,Unknown,AIS gap of 18.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-01T02:19:56+00:00 → current point 2022-12-01T20:34:59+00:00 (18.3 h silence).,2022-12
BKB-0019,AIS_GAP,MEDIUM,62,1125050817,2022-12-02T02:42:01+00:00,-10.5861783333,142.221398333,,Unknown,AIS gap of 6.1 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-01T20:34:59+00:00 → current point 2022-12-02T02:42:01+00:00 (6.1 h silence).,2022-12
BKB-0020,AIS_GAP,HIGH,95,1125050817,2022-12-04T01:14:01+00:00,-10.5861683333,142.221431667,,Unknown,AIS gap of 44.4 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-02T04:49:46+00:00 → current point 2022-12-04T01:14:01+00:00 (44.4 h silence).,2022-12
BKB-0021,AIS_GAP,MEDIUM,66,1125050817,2022-12-04T19:39:42+00:00,-10.5861316667,142.221445,,Unknown,AIS gap of 6.5 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-04T13:09:39+00:00 → current point 2022-12-04T19:39:42+00:00 (6.5 h silence).,2022-12
BKB-0022,AIS_GAP,HIGH,95,1125050817,2022-12-05T13:09:34+00:00,-10.5861366667,142.221441667,,Unknown,AIS gap of 14.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-04T22:49:38+00:00 → current point 2022-12-05T13:09:34+00:00 (14.3 h silence).,2022-12
BKB-0023,AIS_GAP,HIGH,95,1125050817,2022-12-06T03:08:37+00:00,-10.586195,142.221411667,,Unknown,AIS gap of 10.9 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-05T16:14:58+00:00 → current point 2022-12-06T03:08:37+00:00 (10.9 h silence).,2022-12
BKB-0024,AIS_GAP,HIGH,94,1125050817,2022-12-06T15:14:35+00:00,-10.5861416667,142.221448333,,Unknown,AIS gap of 10.1 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-06T05:09:33+00:00 → current point 2022-12-06T15:14:35+00:00 (10.1 h silence).,2022-12
BKB-0025,AIS_GAP,HIGH,95,1125050817,2022-12-07T15:33:57+00:00,-10.58613,142.221455,,Unknown,AIS gap of 13.7 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-07T01:49:36+00:00 → current point 2022-12-07T15:33:57+00:00 (13.7 h silence).,2022-12
BKB-0026,AIS_GAP,HIGH,95,1125050817,2022-12-08T06:32:45+00:00,-10.5861683333,142.22145,,Unknown,AIS gap of 11.9 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-07T18:39:53+00:00 → current point 2022-12-08T06:32:45+00:00 (11.9 h silence).,2022-12
BKB-0027,AIS_GAP,HIGH,90,1125050817,2022-12-08T19:14:20+00:00,-10.5861316667,142.221483333,,Unknown,AIS gap of 9.6 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-08T09:39:33+00:00 → current point 2022-12-08T19:14:20+00:00 (9.6 h silence).,2022-12
BKB-0028,AIS_GAP,HIGH,95,1125050817,2022-12-10T00:07:49+00:00,-10.58664,142.219666667,,Unknown,AIS gap of 17.4 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-09T06:44:46+00:00 → current point 2022-12-10T00:07:49+00:00 (17.4 h silence).,2022-12
BKB-0029,AIS_GAP,HIGH,95,1125050817,2022-12-10T13:09:55+00:00,-10.5925966667,142.21518,,Unknown,AIS gap of 11.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-10T02:09:45+00:00 → current point 2022-12-10T13:09:55+00:00 (11.0 h silence).,2022-12
BKB-0030,AIS_GAP,MEDIUM,78,1125050817,2022-12-11T17:19:58+00:00,-10.590695,142.208073333,,Unknown,AIS gap of 8.1 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-11T09:14:35+00:00 → current point 2022-12-11T17:19:58+00:00 (8.1 h silence).,2022-12
BKB-0031,AIS_GAP,HIGH,86,1125050817,2022-12-12T04:29:13+00:00,-10.589445,142.21864,,Unknown,AIS gap of 9.1 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-11T19:24:56+00:00 → current point 2022-12-12T04:29:13+00:00 (9.1 h silence).,2022-12
BKB-0032,AIS_GAP,HIGH,95,1125050817,2022-12-12T15:42:59+00:00,-10.5912466667,142.20778,,Unknown,AIS gap of 10.2 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-12T05:29:43+00:00 → current point 2022-12-12T15:42:59+00:00 (10.2 h silence).,2022-12
BKB-0033,AIS_GAP,HIGH,95,1125050817,2022-12-13T07:34:51+00:00,-10.5863,142.221185,,Unknown,AIS gap of 13.8 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-12T17:49:29+00:00 → current point 2022-12-13T07:34:51+00:00 (13.8 h silence).,2022-12
BKB-0034,AIS_GAP,HIGH,95,1125050817,2022-12-13T19:08:59+00:00,-10.5917433333,142.21488,,Unknown,AIS gap of 10.5 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-13T08:38:49+00:00 → current point 2022-12-13T19:08:59+00:00 (10.5 h silence).,2022-12
BKB-0035,AIS_GAP,HIGH,95,1125050817,2022-12-15T09:41:01+00:00,-10.591615,142.213233333,,Unknown,AIS gap of 37.5 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-13T20:09:59+00:00 → current point 2022-12-15T09:41:01+00:00 (37.5 h silence).,2022-12
BKB-0036,AIS_GAP,HIGH,95,1125050817,2022-12-16T18:04:52+00:00,-10.59217,142.217298333,,Unknown,AIS gap of 25.8 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-15T16:19:36+00:00 → current point 2022-12-16T18:04:52+00:00 (25.8 h silence).,2022-12
BKB-0037,AIS_GAP,HIGH,95,1125050817,2022-12-18T22:09:41+00:00,-10.5880716667,142.245363333,,Unknown,AIS gap of 47.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-16T22:49:14+00:00 → current point 2022-12-18T22:09:41+00:00 (47.3 h silence).,2022-12
BKB-0038,AIS_GAP,HIGH,95,1125050817,2022-12-26T01:59:01+00:00,-10.58976,142.208271667,,Unknown,AIS gap of 171.8 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-18T22:09:41+00:00 → current point 2022-12-26T01:59:01+00:00 (171.8 h silence).,2022-12
BKB-0039,AIS_GAP,HIGH,95,1125050817,2022-12-26T20:24:10+00:00,-10.5861416667,142.22146,,Unknown,AIS gap of 15.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-26T05:04:31+00:00 → current point 2022-12-26T20:24:10+00:00 (15.3 h silence).,2022-12
BKB-0040,AIS_GAP,HIGH,95,1125050817,2022-12-27T12:04:43+00:00,-10.5874383333,142.221345,,Unknown,AIS gap of 12.6 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-26T23:29:50+00:00 → current point 2022-12-27T12:04:43+00:00 (12.6 h silence).,2022-12
BKB-0041,AIS_GAP,HIGH,95,1125050817,2022-12-28T01:58:55+00:00,-10.5903183333,142.207741667,,Unknown,AIS gap of 12.9 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-27T13:04:44+00:00 → current point 2022-12-28T01:58:55+00:00 (12.9 h silence).,2022-12
BKB-0042,AIS_GAP,HIGH,95,1125050817,2022-12-31T01:27:24+00:00,-10.5875933333,142.220255,,Unknown,AIS gap of 67.4 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-28T06:04:56+00:00 → current point 2022-12-31T01:27:24+00:00 (67.4 h silence).,2022-12
BKB-0043,AIS_GAP,HIGH,95,11825182513,2022-12-30T20:04:49+00:00,-11.3402316667,142.996375,,Unknown,AIS gap of 262.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-19T22:04:58+00:00 → current point 2022-12-30T20:04:49+00:00 (262.0 h silence).,2022-12
BKB-0044,AIS_GAP,HIGH,95,1234301187,2022-12-18T14:49:54+00:00,-11.3292683333,142.992953333,,Unknown,AIS gap of 272.3 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-07T06:29:52+00:00 → current point 2022-12-18T14:49:54+00:00 (272.3 h silence).,2022-12
BKB-0045,AIS_GAP,HIGH,95,1234301187,2022-12-20T19:28:44+00:00,-11.3442733333,141.45078,,Unknown,AIS gap of 41.2 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-19T02:17:05+00:00 → current point 2022-12-20T19:28:44+00:00 (41.2 h silence).,2022-12
BKB-0046,AIS_GAP,HIGH,95,1250455205,2022-12-21T09:59:52+00:00,-11.450405,142.983666667,,Cargo,AIS gap of 243.6 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-11T06:24:50+00:00 → current point 2022-12-21T09:59:52+00:00 (243.6 h silence).,2022-12
BKB-0047,AIS_GAP,HIGH,95,129901281,2022-12-26T20:14:50+00:00,-11.4621333333,142.9827,,Unknown,AIS gap of 245.8 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-16T14:24:56+00:00 → current point 2022-12-26T20:14:50+00:00 (245.8 h silence).,2022-12
BKB-0048,AIS_GAP,HIGH,95,13079483495,2022-12-01T22:09:28+00:00,-10.5837983333,142.244656667,,Unknown,AIS gap of 19.7 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-01T02:24:57+00:00 → current point 2022-12-01T22:09:28+00:00 (19.7 h silence).,2022-12
BKB-0049,AIS_GAP,HIGH,95,13079483495,2022-12-07T04:52:58+00:00,-10.5922983333,142.248216667,,Unknown,AIS gap of 125.4 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-01T23:28:51+00:00 → current point 2022-12-07T04:52:58+00:00 (125.4 h silence).,2022-12
BKB-0050,AIS_GAP,HIGH,95,13079483495,2022-12-08T00:44:48+00:00,-10.58608,142.221721667,,Unknown,AIS gap of 17.8 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-07T06:54:59+00:00 → current point 2022-12-08T00:44:48+00:00 (17.8 h silence).,2022-12
BKB-0051,AIS_GAP,HIGH,95,13079483495,2022-12-08T21:49:57+00:00,-10.5860733333,142.22173,,Unknown,AIS gap of 17.9 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-08T03:53:01+00:00 → current point 2022-12-08T21:49:57+00:00 (17.9 h silence).,2022-12
BKB-0052,AIS_GAP,HIGH,85,13079483495,2022-12-09T06:47:36+00:00,-10.5860966667,142.22173,,Unknown,AIS gap of 9.0 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-08T21:49:57+00:00 → current point 2022-12-09T06:47:36+00:00 (9.0 h silence).,2022-12
BKB-0053,AIS_GAP,HIGH,95,13079483495,2022-12-09T22:36:58+00:00,-10.586135,142.221696667,,Unknown,AIS gap of 15.8 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-09T06:47:36+00:00 → current point 2022-12-09T22:36:58+00:00 (15.8 h silence).,2022-12
BKB-0054,AIS_GAP,HIGH,95,13079483495,2022-12-11T23:03:23+00:00,-10.5866666667,142.221666667,,Unknown,AIS gap of 39.4 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-10T07:39:56+00:00 → current point 2022-12-11T23:03:23+00:00 (39.4 h silence).,2022-12
BKB-0055,AIS_GAP,HIGH,95,13079483495,2022-12-13T05:24:37+00:00,-10.5862616667,142.221886667,,Unknown,AIS gap of 25.2 h,"The vessel disappeared from the AIS source feed for longer than the configured threshold. This may indicate intentional disabling, poor coverage, equipment failure, or small-vessel below-threshold operation.","Review track before/after gap; cross-check RF, SAR, patrol and VMS sources. Note whether the gap area coincides with known IUU activity.",Previous point 2022-12-12T04:13:37+00:00 → current point 2022-12-13T05:24:37+00:00 (25.2 h silence).,2022-12
